Priority Class: 1 | Queue Time: 0.45255184173583984
Priority Class: 2 | Queue Time: 0.9582560062408447
Priority Class: 1 | Queue Time: 0.44922304153442383
Priority Class: 2 | Queue Time: 1.2396221160888672
Priority Class: 1 | Queue Time: 0.44126272201538086
Priority Class: 2 | Queue Time: 1.1624631881713867
Priority Class: 1 | Queue Time: 0.43665409088134766
Priority Class: 2 | Queue Time: 0.37525510787963867
Priority Class: 1 | Queue Time: 0.43457984924316406
Priority Class: 2 | Queue Time: 1.0195708274841309
Priority Class: 1 | Queue Time: 0.4322700500488281
Priority Class: 2 | Queue Time: 0.5823249816894531
Priority Class: 1 | Queue Time: 0.42899012565612793
Priority Class: 2 | Queue Time: 0.14640283584594727
Priority Class: 1 | Queue Time: 0.4234607219696045
Priority Class: 2 | Queue Time: 1.8724679946899414
Priority Class: 1 | Queue Time: 0.416978120803833
Priority Class: 2 | Queue Time: 0.0008027553558349609
Priority Class: 1 | Queue Time: 0.40823817253112793
Priority Class: 2 | Queue Time: 2.441523790359497
Priority Class: 1 | Queue Time: 0.4085078239440918
Priority Class: 2 | Queue Time: 0.9360549449920654
Priority Class: 1 | Queue Time: 0.40398097038269043
Priority Class: 2 | Queue Time: 0.1390211582183838
Priority Class: 1 | Queue Time: 0.39507198333740234
Priority Class: 2 | Queue Time: 0.7803001403808594
Priority Class: 1 | Queue Time: 0.3944559097290039
Priority Class: 2 | Queue Time: 0.3485288619995117
Priority Class: 1 | Queue Time: 0.38831400871276855
Priority Class: 2 | Queue Time: 4.242646932601929
Priority Class: 1 | Queue Time: 0.38147401809692383
Priority Class: 2 | Queue Time: 8.119633913040161
Priority Class: 1 | Queue Time: 0.38040614128112793
Priority Class: 2 | Queue Time: 0.4914817810058594
Priority Class: 1 | Queue Time: 0.3795468807220459
Priority Class: 2 | Queue Time: 0.41919493675231934
Priority Class: 1 | Queue Time: 0.3746376037597656
Priority Class: 2 | Queue Time: 9.342360019683838
Priority Class: 1 | Queue Time: 0.3676891326904297
Priority Class: 2 | Queue Time: 0.9907541275024414
Priority Class: 1 | Queue Time: 0.3691420555114746
Priority Class: 2 | Queue Time: 0.5628621578216553
Priority Class: 1 | Queue Time: 0.3676331043243408
Priority Class: 2 | Queue Time: 4.810240983963013
Priority Class: 1 | Queue Time: 0.364577054977417
Priority Class: 2 | Queue Time: 0.7750740051269531
Priority Class: 1 | Queue Time: 0.3616220951080322
Priority Class: 2 | Queue Time: 0.34453582763671875
Priority Class: 1 | Queue Time: 0.3590247631072998
Priority Class: 2 | Queue Time: 0.2752959728240967
Priority Class: 1 | Queue Time: 0.35631704330444336
Priority Class: 2 | Queue Time: 0.5718040466308594
Priority Class: 1 | Queue Time: 0.36682891845703125
Priority Class: 2 | Queue Time: 8.417736768722534
Priority Class: 1 | Queue Time: 0.3634147644042969
Priority Class: 2 | Queue Time: 7.987428665161133
Priority Class: 1 | Queue Time: 0.35976314544677734
Priority Class: 2 | Queue Time: 0.720973014831543
Priority Class: 1 | Queue Time: 0.35393810272216797
Priority Class: 2 | Queue Time: 0.6490399837493896
Priority Class: 1 | Queue Time: 0.35312724113464355
Priority Class: 2 | Queue Time: 0.575984001159668
Priority Class: 1 | Queue Time: 0.34857773780822754
Priority Class: 2 | Queue Time: 19.574681043624878
Priority Class: 1 | Queue Time: 0.34595704078674316
Priority Class: 2 | Queue Time: 0.7868549823760986
Priority Class: 1 | Queue Time: 0.34054017066955566
Priority Class: 2 | Queue Time: 0.346174955368042
Priority Class: 1 | Queue Time: 0.3316650390625
Priority Class: 2 | Queue Time: 0.2647361755371094
Priority Class: 1 | Queue Time: 0.32969093322753906
Priority Class: 2 | Queue Time: 1.996067762374878
Priority Class: 1 | Queue Time: 0.3268427848815918
Priority Class: 2 | Queue Time: 9.85757303237915
Priority Class: 1 | Queue Time: 0.3221719264984131
Priority Class: 2 | Queue Time: 0.7530629634857178
Priority Class: 1 | Queue Time: 0.3230772018432617
Priority Class: 2 | Queue Time: 30.940635919570923
Priority Class: 1 | Queue Time: 0.316417932510376
Priority Class: 2 | Queue Time: 35.19109106063843
Priority Class: 1 | Queue Time: 0.3142731189727783
Priority Class: 2 | Queue Time: 0.17022013664245605
Priority Class: 1 | Queue Time: 0.31133389472961426
Priority Class: 2 | Queue Time: 0.4488639831542969
Priority Class: 1 | Queue Time: 0.3021702766418457
Priority Class: 2 | Queue Time: 1.092764139175415
Priority Class: 1 | Queue Time: 0.2924768924713135
Priority Class: 2 | Queue Time: 1.3770580291748047
Priority Class: 1 | Queue Time: 0.2902510166168213
Priority Class: 2 | Queue Time: 0.9406840801239014
Priority Class: 1 | Queue Time: 0.28846001625061035
Priority Class: 2 | Queue Time: 3.0281689167022705
Priority Class: 1 | Queue Time: 0.28315091133117676
Priority Class: 2 | Queue Time: 0.7865259647369385
Priority Class: 1 | Queue Time: 0.28266477584838867
Priority Class: 2 | Queue Time: 0.3607509136199951
Priority Class: 1 | Queue Time: 0.2807791233062744
Priority Class: 2 | Queue Time: 3.1649231910705566
Priority Class: 1 | Queue Time: 0.2787168025970459
Priority Class: 2 | Queue Time: 0.575016975402832
Priority Class: 1 | Queue Time: 0.27491188049316406
Priority Class: 2 | Queue Time: 0.860698938369751
Priority Class: 1 | Queue Time: 0.27317285537719727
Priority Class: 2 | Queue Time: 1.1474168300628662
Priority Class: 1 | Queue Time: 0.26626086235046387
Priority Class: 2 | Queue Time: 2.5134987831115723
Priority Class: 1 | Queue Time: 0.26120710372924805
Priority Class: 2 | Queue Time: 0.2882862091064453
Priority Class: 1 | Queue Time: 0.2628970146179199
Priority Class: 2 | Queue Time: 31.21013569831848
Priority Class: 1 | Queue Time: 0.25693416595458984
Priority Class: 2 | Queue Time: 6.264818906784058
Priority Class: 1 | Queue Time: 0.26125001907348633
Priority Class: 2 | Queue Time: 0.4344482421875
Priority Class: 1 | Queue Time: 0.25896406173706055
Priority Class: 2 | Queue Time: 48.99656796455383
Priority Class: 1 | Queue Time: 0.2507028579711914
Priority Class: 2 | Queue Time: 16.849112272262573
Priority Class: 1 | Queue Time: 0.24839019775390625
Priority Class: 2 | Queue Time: 0.5741171836853027
Priority Class: 1 | Queue Time: 0.24196815490722656
Priority Class: 2 | Queue Time: 41.577783823013306
Priority Class: 1 | Queue Time: 0.2373061180114746
Priority Class: 2 | Queue Time: 0.787822961807251
Priority Class: 1 | Queue Time: 0.23807215690612793
Priority Class: 2 | Queue Time: 0.3523850440979004
Priority Class: 1 | Queue Time: 0.2334439754486084
Priority Class: 2 | Queue Time: 0.6443493366241455
Priority Class: 1 | Queue Time: 0.2349240779876709
Priority Class: 2 | Queue Time: 1.2871100902557373
Priority Class: 1 | Queue Time: 0.22726202011108398
Priority Class: 2 | Queue Time: 0.49405479431152344
Priority Class: 1 | Queue Time: 0.22440600395202637
Priority Class: 2 | Queue Time: 0.058995962142944336
Priority Class: 1 | Queue Time: 0.2189929485321045
Priority Class: 2 | Queue Time: 2.1456961631774902
Priority Class: 1 | Queue Time: 0.2196516990661621
Priority Class: 2 | Queue Time: 2.4335758686065674
Priority Class: 1 | Queue Time: 0.22169995307922363
Priority Class: 2 | Queue Time: 1.2843339443206787
Priority Class: 1 | Queue Time: 0.2203691005706787
Priority Class: 2 | Queue Time: 0.13022303581237793
